"Part";"Value";"Device";"Package";"Description";"";
"RV1";"VC1206";"VARISTOR_VC1206_CHIP-1206";"VARC3216X102N";"Varistor - Popular parts";"";
"RV2";"VC1206";"VARISTOR_VC1206_CHIP-1206";"VARC3216X102N";"Varistor - Popular parts";"";
"RV3";"VC1206";"VARISTOR_VC1206_CHIP-1206";"VARC3216X102N";"Varistor - Popular parts";"";
"RV4";"VC1206";"VARISTOR_VC1206_CHIP-1206";"VARC3216X102N";"Varistor - Popular parts";"";
"RV5";"VC1206";"VARISTOR_VC1206_CHIP-1206";"VARC3216X102N";"Varistor - Popular parts";"";
"TVS1";"D5V0L2B3SO";"D5V0L2B3SO";"SOT23-3_-_SOT95P240X110-3N";"";"";
"TVS3";"D5V0L2B3SO";"D5V0L2B3SO";"SOT23-3_-_SOT95P240X110-3N";"";"";
"TVS4";"D5V0L2B3SO";"D5V0L2B3SO";"SOT23-3_-_SOT95P240X110-3N";"";"";
"TVS6";"D5V0L2B3SO";"D5V0L2B3SO";"SOT23-3_-_SOT95P240X110-3N";"";"";
"TVS8";"D5V0L2B3SO";"D5V0L2B3SO";"SOT23-3_-_SOT95P240X110-3N";"";"";
"TVS10";"D5V0L2B3SO";"D5V0L2B3SO";"SOT23-3_-_SOT95P240X110-3N";"";"";
"TVS12";"D5V0L2B3SO";"D5V0L2B3SO";"SOT23-3_-_SOT95P240X110-3N";"";"";
"U1";"INA4180A4IPWRHS-TSSOP-14";"INA4180A4IPWRHS-TSSOP-14";"HS-TSSOP-14";"4 Ch Current Shunt Amplifier";"";
"U2";"INA181A-X";"INA181A-X";"SOT-23-6PIN";"Single Current Shunt Amplifier";"";
"U3";"ATMEGA-32U4";"ATMEGA-32U4";"QFN-44_-_QFN50P700X700X100-45T500N";"Stand Alone - Ardunio Pro Micro";"";
"U4";"USB2507";"USB2507";"TQFP-80_-_QFP50P1400X1400X120-80N";"USB 2.0 7-Port Hub Controller";"";
"U6";"PCA9515HS-SO-8";"PCA9515HS-SO-8";"SOIC127P600X175-8N__HS__AS5600";"I2C Bus Repeater";"";
"U7";"24CXXSOIC-8";"24CXXSOIC-8";"SOIC127P600X175-8N__AS5600";"";"";
"U8";"TSX339-HS-TSSOP-14";"TSX339-HS-TSSOP-14";"TSSOP-14-HS_-_SOP65P640X120-14N";"sub {";"";
"U12";"TLV7021-SOT23-5";"TLV7021-SOT23-5";"SOT23-5_-_SOT95P280X145-5N";"sub {";"";
"U13";"SN74LV08";"SN74LV08";"SOIC-14_-_SOIC127P600X175-14N";"Quad AND Gates 2-Input";"";
"U15";"CD4011";"CD4011";"TSSOP-14_-_SOP65P640X120-14N";"Quad NAND Gates 2-Input";"";
"U17";"TLV9151-HS";"TLV9151-HS";"SOT23-5-HS_-_SOT95P280X145-5N";"sub {";"";
"U19";"74HC2G08";"74HC2G08";"TSSOP-8_-_SOP65P400X110-8N";"Dual AND Gates 2-Input";"";
"U20";"SN74LVC1G06";"SN74LVC1G06";"SOT23-5_-_SOT95P275X145-5N";"";"";
"USB-1";"USB-A-SIDE";"USB-A-SIDE";"USB-A-SIDE";"";"";
"USB-2";"USB-A-SIDE";"USB-A-SIDE";"USB-A-SIDE";"";"";
"USB-3";"USB-A-SIDE";"USB-A-SIDE";"USB-A-SIDE";"";"";
"USB-4";"USB-A-SIDE";"USB-A-SIDE";"USB-A-SIDE";"";"";
"USB-5";"USB-A-SIDE";"USB-A-SIDE";"USB-A-SIDE";"";"";
"VR1";"TL1431TO-92";"TL1431TO-92";"TO-92";"Precision Adjustable Voltage Reference";"";
"X1";"ECS-240-10-37B2-JTN";"ECS-240-10-37B2-JTN";"SMD-OSC-2X1_6_-_OSCCC200X160X50N";"2X1.6 Crystal Oscillator";"";
"X4";"16MHz";"RH100-16-8-1010";"OSC-1010_-_OSCCC320X250X69N";"Crystal Oscillator SMD";"";
